base,opponent,opponent_family,horizon,horizon_label,metric,n_origins,base_score,opponent_score,diff,improvement_pct,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,base_better,origins_won
Chronos2-ZS,ETS,statistical,24,1 d,MASE,24,0.6563016477223401,0.9657363749025052,-0.3094347271801651,32.041324653573675,22.640074738545614,45.844406663022575,0.0,-3.853490002465322,0.0008088687483984724,True,True,24
Chronos2-ZS,ETS,statistical,24,1 d,MAE,24,0.21110794348326048,0.2683352582808677,-0.05722731479760718,21.326796621600547,15.831466820656843,27.15229423473277,0.0,-5.412662557244844,1.6858060597035873e-05,True,True,24
Chronos2-ZS,ETS,statistical,48,2 d,MASE,24,0.6668431302730689,0.9750069923514434,-0.3081638620783747,31.606323287504832,22.480912735413067,45.56658774064061,0.0,-3.195206243344391,0.004024499810099336,True,True,24
Chronos2-ZS,ETS,statistical,48,2 d,MAE,24,0.21628921618847488,0.2724644343791898,-0.05617521819071495,20.61744987697575,15.906406704531586,25.593519128448253,0.0,-4.5212255878169065,0.00015352350739039622,True,True,24
Chronos2-ZS,ETS,statistical,72,3 d,MASE,24,0.6670011520667843,0.9799222111342939,-0.3129210590675096,31.933255059633016,22.314579100008242,45.98735416221861,0.0,-2.854306391867495,0.008973541645425964,True,True,24
Chronos2-ZS,ETS,statistical,72,3 d,MAE,24,0.2174327787558811,0.27495890369326753,-0.057526124937386396,20.92171745111411,16.014457958523504,26.165078402625674,0.0,-4.131269875387424,0.00040588624360982095,True,True,24
Chronos2-ZS,ETS,statistical,168,7 d,MASE,24,0.6652976708299781,0.9805231785401913,-0.31522550771021307,32.148705365590914,22.33776779173867,46.94545867761188,0.0,-2.1356688650376943,0.043577663056529214,True,True,24
Chronos2-ZS,ETS,statistical,168,7 d,MAE,24,0.2197993179577634,0.27659864802828005,-0.05679933007051672,20.534926860781127,16.596796342733196,25.01726848769487,0.0,-3.1218279192560905,0.004792917590373147,True,True,24
Chronos2-ZS,Theta,statistical,6,6 h,MASE,24,0.596173475223719,0.9186132281291703,-0.32243975290545135,35.10070865865124,22.3148489101724,56.12500790767158,0.0,-3.6640348755841563,0.0012905139555634548,True,True,24
Chronos2-ZS,Theta,statistical,6,6 h,MAE,24,0.1958597924489299,0.2607729061248378,-0.06491311367590791,24.8925836048445,17.345446308926896,33.78491217768361,0.0,-5.727073201024263,7.832311354150079e-06,True,True,23
Chronos2-ZS,Theta,statistical,12,12 h,MASE,24,0.627832870455817,0.9568894738388977,-0.3290566033830806,34.38815164963145,22.160814635638484,54.62061305991321,0.0,-3.776119372467536,0.0009792651283730969,True,True,24
Chronos2-ZS,Theta,statistical,12,12 h,MAE,24,0.20245644476148775,0.2695826102623295,-0.06712616550084173,24.900035442019647,17.23199603159018,34.137403578876025,0.0,-5.69993794163005,8.365078090877276e-06,True,True,24
Chronos2-ZS,Theta,statistical,24,1 d,MASE,24,0.6563016477223401,0.9624922814738192,-0.3061906337514791,31.812269006731544,21.345693020525548,48.281909849444766,0.0,-3.5426041932999106,0.0017376845368781701,True,True,24
Chronos2-ZS,Theta,statistical,24,1 d,MAE,24,0.21110794348326048,0.27997656081472544,-0.06886861733146497,24.597993893152648,17.72176980618842,32.91678538440197,0.0,-5.195628655272279,2.8750734330174055e-05,True,True,24
Chronos2-ZS,Theta,statistical,48,2 d,MASE,24,0.6668431302730689,0.9885619760547358,-0.32171884578166704,32.54412505987928,22.723604859924396,48.404244528957484,0.0,-3.2976647796154404,0.0031478574096888146,True,True,24
Chronos2-ZS,Theta,statistical,48,2 d,MAE,24,0.21628921618847488,0.28797904109330946,-0.07168982490483454,24.894111957823338,19.220437178122808,32.20103281078684,0.0,-5.082273604634701,3.8044631315736765e-05,True,True,24
Chronos2-ZS,Theta,statistical,72,3 d,MASE,24,0.6670011520667843,0.9930739511029261,-0.3260727990361418,32.83469460396171,22.753128336316095,49.421619254576555,0.0,-2.9638820090860336,0.006954765186185208,True,True,24
Chronos2-ZS,Theta,statistical,72,3 d,MAE,24,0.2174327787558811,0.29133891274682855,-0.07390613399094743,25.36775238643502,19.71694508070174,32.785204851285464,0.0,-4.53482159431978,0.00014840483997935472,True,True,24
Chronos2-ZS,Theta,statistical,168,7 d,MASE,24,0.6652976708299781,1.016921432660986,-0.35162376183100785,34.5772790834894,23.836680366730466,51.78300513576414,0.0,-2.212798363880649,0.03711210825539313,True,True,24
Chronos2-ZS,Theta,statistical,168,7 d,MAE,24,0.2197993179577634,0.29848717813246795,-0.0786878601747046,26.362224557526254,20.735892562191104,33.6036468444562,0.0,-3.3558324581432495,0.002735843446977082,True,True,24
Chronos2-ZS,DynamicOptimizedTheta,statistical,6,6 h,MASE,24,0.596173475223719,0.9185015772266389,-0.32232810200291984,35.09281965265323,22.38505586910438,56.11282643873904,0.0,-3.6631645338994074,0.001293276343636629,True,True,24
Chronos2-ZS,DynamicOptimizedTheta,statistical,6,6 h,MAE,24,0.1958597924489299,0.26089374046475783,-0.06503394801582796,24.927370008945424,17.385787823577626,33.930719611785456,0.0,-5.766251123024484,7.123279500254043e-06,True,True,23
